component                                                                                                                                                    dataset                                                                                                                                                                                                                                     dasurl
       TTJets_HT800to1200_madgraphMLM   /TTJets_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM   https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FTTJets_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1%2FMINIAODSIM
      TTJets_HT1200to2500_madgraphMLM  /TTJets_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM  https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FTTJets_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1%2FMINIAODSIM
       TTJets_HT2500toInf_madgraphMLM        /TTJets_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM        https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FTTJets_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
   TTJets_SingleLeptFromT_madgraphMLM     /TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM     https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FTTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
TTJets_SingleLeptFromTbar_madgraphMLM  /TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM  https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FTTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
                   TTJets_madgraphMLM                     /TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM                     https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FTTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
    WJetsToLNu_HT100to200_madgraphMLM     /WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v3/MINIAODSIM     https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FWJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v3%2FMINIAODSIM
    WJetsToLNu_HT200to400_madgraphMLM     /WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM     https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FWJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
    WJetsToLNu_HT400to600_madgraphMLM     /WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM     https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FWJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
    WJetsToLNu_HT600to800_madgraphMLM     /WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM     https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FWJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
   WJetsToLNu_HT800to1200_madgraphMLM    /WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v2/MINIAODSIM    https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FWJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v2%2FMINIAODSIM
  WJetsToLNu_HT1200to2500_madgraphMLM   /WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM   https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FWJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
   WJetsToLNu_HT2500toInf_madgraphMLM    /WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM    https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FWJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
      ZJetsToNuNu_HT100to200_madgraph                            /ZJetsToNuNu_HT-100To200_13TeV-madgraph/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM                            https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FZJetsToNuNu_HT-100To200_13TeV-madgraph%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
      ZJetsToNuNu_HT200to400_madgraph                            /ZJetsToNuNu_HT-200To400_13TeV-madgraph/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM                            https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FZJetsToNuNu_HT-200To400_13TeV-madgraph%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
      ZJetsToNuNu_HT400to600_madgraph                            /ZJetsToNuNu_HT-400To600_13TeV-madgraph/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM                            https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FZJetsToNuNu_HT-400To600_13TeV-madgraph%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
      ZJetsToNuNu_HT600to800_madgraph                            /ZJetsToNuNu_HT-600To800_13TeV-madgraph/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM                            https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FZJetsToNuNu_HT-600To800_13TeV-madgraph%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
     ZJetsToNuNu_HT800to1200_madgraph                           /ZJetsToNuNu_HT-800To1200_13TeV-madgraph/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v3/MINIAODSIM                           https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FZJetsToNuNu_HT-800To1200_13TeV-madgraph%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v3%2FMINIAODSIM
    ZJetsToNuNu_HT1200to2500_madgraph                          /ZJetsToNuNu_HT-1200To2500_13TeV-madgraph/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM                          https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FZJetsToNuNu_HT-1200To2500_13TeV-madgraph%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
     ZJetsToNuNu_HT2500toInf_madgraph                           /ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM                           https://cmsweb.cern.ch/das/request?view=list&instance=prod%2Fglobal&input=%2FZJetsToNuNu_HT-2500ToInf_13TeV-madgraph%2FRunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1%2FMINIAODSIM
